id;marca;nomeDaPeca;precoComDesconto;precoSemDesconto;Descricao;Tamanho;Condicao;Cores;Disponível;Data;Status
19757;Charro;Jaqueta Matelassê Laranja;159;159;Jaqueta laranja de nylon, com efeito matelassê. É forrada e possui uma camada de fibra interna. Fechamento por zíper na frente. Não possui bolsos. A etiqueta da peça marca tamanho XG, mas veste M. Garimpada em Montevidéu, Uruguai.;M;Vintage;;VENDIDO;2018-11-17 02:56:16.268788;VERIFICADO
19758;Sem Marca;Saia Midi Godê;49;49;Saia midi preta com modelagem godê. O tecido é bem grosso. Cintura alta, com zíper nas costas. Possui dois bolsos.;P;Vintage;;VENDIDO;2018-11-17 01:34:12.933800;VERIFICADO
19760;Stubbies;Bomber Jacket Onça Neon;189;189;Bomber jacket ampla de tecido bem leve, com estampa de onça em cores neon. Possui dois bolsos na parte da frente, não é forrada. Fechamento por zíper. Garimpada em Montevidéu, Uruguai.;G;Vintage;;VENDIDO;2018-11-17 02:43:57.055729;VERIFICADO
19761;Seiki;Calça Vintage de Linho;99;99;Calça preta vintage de linho, com cintura super alta. Fechamento por zíper nas costas. Modelagem reta. A etiqueta da peça é tamanho 42, porém veste tamanho 38.;38;Vintage;;VENDIDO;2018-11-17 02:19:00.836225;VERIFICADO
19762;Elle Et Lui;Camisa Floral Elle Et Lui;69;69;Camisa manga curta estampa floral com um bolso na frente e fechamento por botões. Modelagem ampla.;M;Vintage;;DISPONIVEL;2018-11-17 03:01:27.161209;VERIFICADO
19763;Burton Evolution;Cardigan Burton;89;89;Cardigan de lã sintética e natural, com padronagem colorida. Fechamento por botões na parte da frente. Não tem bolsos. A peça está em perfeito estado de conservação. Fabricada na Itália, garimpada em Montevidéu, Uruguai.;M;Vintage;;VENDIDO;2018-11-17 03:13:55.517968;VERIFICADO
19764;Sem Marca;Suéter Vermelho e Amarelo;69;69;Suéter vermelho com padronagem em amarelo e preto. Garimpado em Montevidéu, Uruguai.;M;Vintage;;VENDIDO;2018-11-17 03:20:42.946585;VERIFICADO
19765;Ann Taylor;Camisa Estampada Ann Taylor;69;69;Camisa estampada em tons de marrom, com fendas laterais. O tecido apresenta uma leve transparência.;M;Vintage;;VENDIDO;2018-11-17 01:41:35.722216;VERIFICADO
19766;Paris Dakar;Jaqueta de Couro Vintage Castanho;249;249;Jaqueta de couro natural, na cor marrom fosco. É uma peça vintage dos Anos 80, em estilo parka com regulagem na barra e na gola por cordão. Possui 3 bolsos na parte da frente, tem fechamento por zíper e botões. É forrada, possui ombreiras e ombros amplos. O couro está em bom estado de conservação, mas, por ser uma peça antiga, apresenta manchas, desgastes de uso e diferenças de tonalidade em algumas partes. Garimpada em Montevidéu, Uruguai.;M;Vintage;;VENDIDO;2018-11-17 02:24:07.219703;VERIFICADO
19767;Daniel Hechter;Saia Pareô Daniel Hechter;69;69;Saia vintage, estilo pareô comprimento mid, fechamento por três botões laterais e um botão interno. Tecido estilo gabardine. Etiqueta da peça informa tamanho 42 mas veste 40.;40;Vintage;;VENDIDO;2018-11-17 01:34:38.268672;VERIFICADO
